return_id,order_id,seller_id,return_date,return_reason
RET-0000001,ORD-0000007,MNT-0001,2023-05-10,size issue
RET-0000002,ORD-0000032,MNT-0001,2023-06-27,changed mind
RET-0000003,ORD-0000038,MNT-0001,2023-08-06,changed mind
RET-0000004,ORD-0000062,MNT-0001,2023-08-29,wrong item
RET-0000005,ORD-0000067,MNT-0001,2023-08-28,damaged
RET-0000006,ORD-0000074,MNT-0001,2023-09-11,changed mind
RET-0000007,ORD-0000078,MNT-0001,2023-09-21,wrong item
RET-0000008,ORD-0000079,MNT-0001,2023-09-24,size issue
RET-0000009,ORD-0000089,MNT-0001,2023-09-25,wrong item
RET-0000010,ORD-0000133,MNT-0001,2023-11-21,quality issue
RET-0000011,ORD-0000147,MNT-0001,2024-01-02,size issue
RET-0000012,ORD-0000148,MNT-0001,2023-12-19,size issue
RET-0000013,ORD-0000169,MNT-0001,2024-02-09,size issue
RET-0000014,ORD-0000176,MNT-0001,2024-01-13,wrong item
RET-0000015,ORD-0000180,MNT-0001,2024-01-29,changed mind
RET-0000016,ORD-0000211,MNT-0001,2024-03-18,size issue
RET-0000017,ORD-0000219,MNT-0001,2024-04-02,damaged
RET-0000018,ORD-0000223,MNT-0001,2024-05-07,size issue
RET-0000019,ORD-0000224,MNT-0001,2024-05-11,size issue
RET-0000020,ORD-0000233,MNT-0001,2024-05-16,changed mind
RET-0000021,ORD-0000241,MNT-0001,2024-05-30,size issue
RET-0000022,ORD-0000244,MNT-0001,2024-06-03,quality issue
RET-0000023,ORD-0000249,MNT-0001,2024-06-25,wrong item
RET-0000024,ORD-0000250,MNT-0001,2024-07-01,damaged
RET-0000025,ORD-0000262,MNT-0001,2024-07-07,size issue
RET-0000026,ORD-0000293,MNT-0002,2023-02-09,size issue
RET-0000027,ORD-0000312,MNT-0002,2023-02-26,size issue
RET-0000028,ORD-0000320,MNT-0002,2023-04-02,damaged
RET-0000029,ORD-0000326,MNT-0002,2023-03-12,changed mind
RET-0000030,ORD-0000339,MNT-0002,2023-04-06,wrong item
RET-0000031,ORD-0000346,MNT-0002,2023-04-27,size issue
RET-0000032,ORD-0000352,MNT-0002,2023-04-15,quality issue
RET-0000033,ORD-0000355,MNT-0002,2023-04-21,damaged
RET-0000034,ORD-0000369,MNT-0002,2023-05-18,quality issue
RET-0000035,ORD-0000374,MNT-0002,2023-05-29,quality issue
RET-0000036,ORD-0000381,MNT-0002,2023-07-05,wrong item
RET-0000037,ORD-0000383,MNT-0002,2023-07-03,size issue
RET-0000038,ORD-0000384,MNT-0002,2023-06-22,size issue
RET-0000039,ORD-0000387,MNT-0002,2023-06-12,changed mind
RET-0000040,ORD-0000395,MNT-0002,2023-06-28,size issue
RET-0000041,ORD-0000399,MNT-0002,2023-06-10,damaged
RET-0000042,ORD-0000411,MNT-0002,2023-06-09,size issue
RET-0000043,ORD-0000412,MNT-0002,2023-06-08,size issue
RET-0000044,ORD-0000421,MNT-0002,2023-07-31,quality issue
RET-0000045,ORD-0000430,MNT-0002,2023-08-03,changed mind
RET-0000046,ORD-0000438,MNT-0002,2023-07-23,wrong item
RET-0000047,ORD-0000442,MNT-0002,2023-07-07,quality issue
RET-0000048,ORD-0000448,MNT-0002,2023-08-10,wrong item
RET-0000049,ORD-0000451,MNT-0002,2023-09-10,damaged
RET-0000050,ORD-0000475,MNT-0002,2023-09-20,changed mind
RET-0000051,ORD-0000486,MNT-0002,2023-09-23,wrong item
RET-0000052,ORD-0000500,MNT-0002,2023-10-29,damaged
RET-0000053,ORD-0000507,MNT-0002,2023-11-06,changed mind
RET-0000054,ORD-0000515,MNT-0002,2023-10-29,quality issue
RET-0000055,ORD-0000532,MNT-0002,2023-11-20,size issue
RET-0000056,ORD-0000537,MNT-0002,2023-12-08,quality issue
RET-0000057,ORD-0000545,MNT-0002,2023-11-28,size issue
RET-0000058,ORD-0000568,MNT-0002,2023-12-13,size issue
RET-0000059,ORD-0000575,MNT-0002,2023-12-26,quality issue
RET-0000060,ORD-0000578,MNT-0002,2023-12-21,damaged
RET-0000061,ORD-0000587,MNT-0002,2024-01-09,damaged
RET-0000062,ORD-0000592,MNT-0002,2024-01-14,wrong item
RET-0000063,ORD-0000593,MNT-0002,2024-02-06,changed mind
RET-0000064,ORD-0000598,MNT-0002,2024-01-18,size issue
RET-0000065,ORD-0000606,MNT-0002,2024-01-21,damaged
RET-0000066,ORD-0000611,MNT-0002,2024-02-25,size issue
RET-0000067,ORD-0000623,MNT-0002,2024-03-23,damaged
RET-0000068,ORD-0000624,MNT-0002,2024-03-17,size issue
